Index,Hz,Amp
1,1.449585,9.064429
2,2.899170,5.424739
3,4.348755,8.218822
4,5.798340,8.651481
5,7.247925,9.243954
6,8.697510,9.973019
7,10.147090,12.037090
8,11.596680,11.236330
9,13.046260,12.764270
10,14.495850,14.999820
11,15.945430,37.478000
12,17.395020,62.422760
13,18.844600,23.079740
14,20.294190,25.880880
15,21.743770,30.811290
16,23.193360,10.690690
17,24.642940,6.922971
18,26.092530,8.446883
19,27.542110,10.620700
20,28.991700,13.028340
21,30.441280,14.283600
22,31.890870,13.963110
23,33.340450,11.494800
24,34.790040,10.129730
25,36.239620,7.256893
26,37.689210,9.295328
27,39.138790,8.945835
28,40.588380,8.610339
29,42.037960,8.455266
30,43.487550,7.240422
31,44.937130,10.968450
32,46.386720,8.560616
33,47.836300,7.821869
34,49.285890,13.419540
35,50.735470,13.295900
36,52.185060,16.010090
37,53.634640,17.372360
38,55.084230,17.340270
39,56.533810,14.261110
40,57.983400,10.859070
41,59.432980,10.451880
42,60.882570,10.911300
43,62.332150,11.682950
44,63.781740,10.836110
45,65.231320,11.421610
46,66.680910,12.955860
47,68.130490,16.933970
48,69.580080,18.444160
49,71.029660,17.151800
50,72.479250,15.474480
51,73.928830,13.426290
52,75.378420,9.557895
53,76.828000,11.470620
54,78.277590,14.388350
55,79.727170,13.592020
56,81.176760,13.973060
57,82.626340,13.983840
58,84.075930,25.970460
59,85.525510,22.279730
60,86.975100,27.680160
61,88.424680,20.185030
62,89.874270,12.030310
63,91.323850,13.384360
64,92.773440,14.383530
65,94.223020,16.661390
66,95.672610,14.010940
67,97.122190,17.331490
68,98.571780,25.266260
69,100.021400,26.106020
70,101.470900,24.888470
71,102.920500,23.873670
72,104.370100,18.927060
73,105.819700,17.752090
74,107.269300,15.153510
75,108.718900,14.576670
76,110.168500,19.023680
77,111.618000,20.412650
78,113.067600,21.894860
79,114.517200,25.076650
80,115.966800,26.971690
81,117.416400,45.090790
82,118.866000,365.835000
83,120.315600,609.942000
84,121.765100,202.366100
85,123.214700,42.959760
86,124.664300,38.419430
87,126.113900,45.967510
88,127.563500,55.415580
89,129.013100,60.683360
90,130.462600,53.373860
91,131.912200,52.578460
92,133.361800,49.295000
93,134.811400,51.521330
94,136.261000,43.749270
95,137.710600,35.948250
96,139.160200,36.349610
97,140.609700,28.642390
98,142.059300,27.210840
99,143.508900,30.575970
100,144.958500,29.666330
101,146.408100,31.448790
102,147.857700,19.014800
103,149.307300,20.768770
104,150.756800,22.819680
105,152.206400,17.765530
106,153.656000,22.401000
107,155.105600,31.474430
108,156.555200,26.196510
109,158.004800,20.751650
110,159.454300,13.332020
111,160.903900,7.727990
112,162.353500,12.146720
113,163.803100,17.074440
114,165.252700,17.591500
115,166.702300,19.174290
116,168.151900,24.456160
117,169.601400,24.263000
118,171.051000,22.056810
119,172.500600,23.094810
120,173.950200,22.466960
121,175.399800,31.035820
122,176.849400,37.381840
123,178.299000,44.755190
124,179.748500,54.553540
125,181.198100,44.711300
126,182.647700,39.750220
127,184.097300,34.725760
128,185.546900,35.235600
129,186.996500,46.712110
130,188.446000,82.689570
131,189.895600,101.998900
132,191.345200,62.016030
133,192.794800,41.154250
134,194.244400,39.181610
135,195.694000,27.135470
136,197.143600,26.766060
137,198.593100,26.060790
138,200.042700,26.162510
139,201.492300,44.336570
140,202.941900,30.161200
141,204.391500,24.212110
142,205.841100,33.245660
143,207.290600,35.506680
144,208.740200,20.388050
145,210.189800,16.104020
146,211.639400,21.006900
147,213.089000,24.634510
148,214.538600,33.181110
149,215.988200,34.546310
150,217.437700,43.603850
151,218.887300,48.301100
152,220.336900,49.262080
153,221.786500,30.660340
154,223.236100,20.714830
155,224.685700,24.326330
156,226.135300,32.208210
157,227.584800,32.078070
158,229.034400,26.546000
159,230.484000,40.689590
160,231.933600,43.924410
161,233.383200,34.618900
162,234.832800,31.921100
163,236.282300,28.554120
164,237.731900,32.328530
165,239.181500,44.063510
166,240.631100,35.608420
167,242.080700,42.677420
168,243.530300,27.328160
169,244.979900,29.607050
170,246.429400,38.560780
171,247.879000,42.519330
172,249.328600,37.176040
173,250.778200,41.932260
174,252.227800,51.048200
175,253.677400,47.718850
176,255.127000,46.255990
177,256.576500,37.062660
178,258.026100,53.132950
179,259.475700,64.311180
180,260.925300,51.902230
181,262.374900,53.037670
182,263.824500,57.336520
183,265.274000,40.884260
184,266.723600,43.323300
185,268.173200,71.273110
186,269.622800,50.530740
187,271.072400,39.863010
188,272.522000,54.827710
189,273.971600,83.292110
190,275.421100,62.438720
191,276.870700,86.667560
192,278.320300,47.159700
193,279.769900,53.127430
194,281.219500,45.985850
195,282.669100,44.485520
196,284.118700,49.872590
197,285.568200,36.540830
198,287.017800,56.820820
199,288.467400,48.941870
200,289.917000,48.449270
201,291.366600,42.240300
202,292.816200,25.420160
203,294.265700,34.635940
204,295.715300,31.364290
205,297.164900,39.696830
206,298.614500,25.380730
207,300.064100,29.933110
208,301.513700,28.023200
209,302.963300,28.284040
210,304.412800,28.022350
211,305.862400,23.652620
212,307.312000,31.933320
213,308.761600,20.630200
214,310.211200,51.726380
215,311.660800,63.497150
216,313.110400,47.630850
217,314.559900,67.747150
218,316.009500,81.049290
219,317.459100,61.006670
220,318.908700,68.766150
221,320.358300,52.641060
222,321.807900,43.650870
223,323.257400,37.631420
224,324.707000,33.735720
225,326.156600,41.056140
226,327.606200,34.090020
227,329.055800,46.691150
228,330.505400,39.491380
229,331.955000,29.600620
230,333.404500,33.985670
231,334.854100,33.029110
232,336.303700,27.720410
233,337.753300,23.439960
234,339.202900,30.100210
235,340.652500,26.328630
236,342.102100,25.150590
237,343.551600,19.441830
238,345.001200,25.830410
239,346.450800,30.943550
240,347.900400,35.746300
241,349.350000,27.850890
242,350.799600,28.266640
243,352.249100,27.987580
244,353.698700,25.831210
245,355.148300,23.170850
246,356.597900,28.784050
247,358.047500,35.688320
248,359.497100,51.377170
249,360.946700,46.459390
250,362.396200,57.069620
251,363.845800,42.538790
252,365.295400,24.623760
253,366.745000,32.739760
254,368.194600,32.258930
255,369.644200,23.780150
256,371.093800,23.695750
257,372.543300,26.026180
258,373.992900,22.174170
259,375.442500,26.387700
260,376.892100,37.135410
261,378.341700,34.711660
262,379.791300,26.011490
263,381.240800,30.582080
264,382.690400,42.914140
265,384.140000,57.632220
266,385.589600,56.814290
267,387.039200,54.358980
268,388.488800,57.450320
269,389.938400,64.516590
270,391.387900,73.874980
271,392.837500,85.980450
272,394.287100,55.570470
273,395.736700,82.025220
274,397.186300,65.812240
275,398.635900,57.472470
276,400.085400,59.601960
277,401.535000,47.022300
278,402.984600,59.618680
279,404.434200,51.120650
280,405.883800,55.801810
281,407.333400,53.953170
282,408.783000,62.434100
283,410.232500,53.035820
284,411.682100,52.399810
285,413.131700,42.004840
286,414.581300,39.532540
287,416.030900,34.139640
288,417.480500,41.395710
289,418.930100,29.245160
290,420.379600,35.508540
291,421.829200,36.142560
292,423.278800,38.008700
293,424.728400,32.442440
294,426.178000,49.348620
295,427.627600,38.281810
296,429.077100,42.878600
297,430.526700,52.958920
298,431.976300,56.893860
299,433.425900,43.176200
300,434.875500,30.042090
301,436.325100,31.805620
302,437.774700,29.143880
303,439.224200,34.412010
304,440.673800,35.481860
305,442.123400,48.923400
306,443.573000,42.138360
307,445.022600,31.947100
308,446.472200,30.553310
309,447.921800,27.389060
310,449.371300,34.147700
311,450.820900,33.546570
312,452.270500,35.062850
313,453.720100,46.301880
314,455.169700,63.063200
315,456.619300,50.020470
316,458.068800,43.276590
317,459.518400,38.594870
318,460.968000,39.216780
319,462.417600,31.252180
320,463.867200,29.426480
321,465.316800,33.481120
322,466.766400,31.845310
323,468.215900,29.150530
324,469.665500,30.725390
325,471.115100,41.141390
326,472.564700,28.819460
327,474.014300,31.370240
328,475.463900,31.872830
329,476.913500,23.710710
330,478.363000,24.477380
331,479.812600,26.895920
332,481.262200,25.089900
333,482.711800,19.128200
334,484.161400,32.053570
335,485.611000,37.473390
336,487.060500,33.304540
337,488.510100,30.680230
338,489.959700,28.900750
339,491.409300,26.507810
340,492.858900,22.678260
341,494.308500,23.844310
342,495.758100,26.228600
343,497.207600,21.628350
344,498.657200,22.494930
345,500.106800,23.563100
346,501.556400,24.696980
347,503.006000,40.475520
348,504.455600,34.215440
349,505.905200,27.314930
350,507.354700,24.174320
351,508.804300,26.883190
352,510.253900,25.942840
353,511.703500,22.987040
354,513.153100,18.499340
355,514.602700,14.778610
356,516.052200,18.873000
357,517.501800,16.035400
358,518.951400,22.964920
359,520.401000,22.199340
360,521.850600,15.385080
361,523.300200,13.410700
362,524.749800,17.256090
363,526.199300,20.176400
364,527.648900,23.109720
365,529.098500,28.144210
366,530.548100,28.269890
367,531.997700,26.429870
368,533.447300,16.664640
369,534.896900,20.352720
370,536.346400,21.970670
371,537.796000,15.132300
372,539.245600,15.902380
373,540.695200,18.971100
374,542.144800,23.396980
375,543.594400,17.789780
376,545.043900,20.688920
377,546.493500,18.730640
378,547.943100,16.139300
379,549.392700,18.377980
380,550.842300,21.629010
381,552.291900,23.082310
382,553.741500,23.027540
383,555.191000,20.576110
384,556.640600,21.062590
385,558.090200,17.556000
386,559.539800,16.433980
387,560.989400,16.748610
388,562.439000,18.807420
389,563.888500,15.915560
390,565.338100,17.234870
391,566.787700,20.260130
392,568.237300,21.356530
393,569.686900,21.828660
394,571.136500,19.091310
395,572.586100,20.176760
396,574.035600,18.816510
397,575.485200,20.395040
398,576.934800,19.608470
399,578.384400,21.486050
400,579.834000,18.759700
401,581.283600,19.830880
402,582.733200,24.712180
403,584.182700,19.711800
404,585.632300,21.825710
405,587.081900,20.960920
406,588.531500,23.194990
407,589.981100,24.979970
408,591.430700,26.180870
409,592.880200,18.436700
410,594.329800,20.809620
411,595.779400,21.409090
412,597.229000,27.985440
413,598.678600,33.620800
414,600.128200,32.567500
415,601.577800,24.275360
416,603.027300,28.151540
417,604.476900,25.988700
418,605.926500,22.977080
419,607.376100,26.709700
420,608.825700,25.803130
421,610.275300,21.289180
422,611.724900,20.746830
423,613.174400,20.141210
424,614.624000,20.667030
425,616.073600,17.868160
426,617.523200,21.263900
427,618.972800,17.079110
428,620.422400,16.166290
429,621.871900,20.656480
430,623.321500,23.983760
431,624.771100,21.058060
432,626.220700,23.548490
433,627.670300,25.588790
434,629.119900,22.764570
435,630.569500,24.440680
436,632.019000,23.651800
437,633.468600,20.781550
438,634.918200,20.756600
439,636.367800,26.356230
440,637.817400,26.714030
441,639.267000,31.717100
442,640.716600,33.253840
443,642.166100,35.416230
444,643.615700,35.963150
445,645.065300,30.322630
446,646.514900,29.040550
447,647.964500,26.459130
448,649.414100,26.314000
449,650.863600,17.909520
450,652.313200,20.610740
451,653.762800,21.974720
452,655.212400,21.037930
453,656.662000,19.132510
454,658.111600,22.477270
455,659.561200,19.958030
456,661.010700,28.753520
457,662.460300,22.799310
458,663.909900,22.681120
459,665.359500,24.593450
460,666.809100,15.697160
461,668.258700,15.625120
462,669.708300,17.983220
463,671.157800,18.414010
464,672.607400,17.438640
465,674.057000,15.738860
466,675.506600,19.143280
467,676.956200,18.579110
468,678.405800,17.085590
469,679.855300,16.503140
470,681.304900,18.667400
471,682.754500,18.130850
472,684.204100,13.382450
473,685.653700,17.638340
474,687.103300,19.782120
475,688.552900,18.455200
476,690.002400,16.695270
477,691.452000,16.382550
478,692.901600,13.334580
479,694.351200,16.269670
480,695.800800,17.712770
481,697.250400,13.237310
482,698.700000,12.441360
483,700.149500,12.120950
484,701.599100,13.215380
485,703.048700,17.096830
486,704.498300,15.050440
487,705.947900,14.935790
488,707.397500,14.297220
489,708.847000,15.314720
490,710.296600,12.605760
491,711.746200,12.383520
492,713.195800,13.801110
493,714.645400,13.525320
494,716.095000,16.590410
495,717.544600,14.915730
496,718.994100,11.988020
497,720.443700,15.936720
498,721.893300,18.104020
499,723.342900,12.180900
500,724.792500,13.603090
501,726.242100,13.113530
502,727.691700,11.920250
503,729.141200,14.433980
504,730.590800,17.992870
505,732.040400,18.478240
506,733.490000,14.895400
507,734.939600,11.784350
508,736.389200,13.519630
509,737.838700,12.960470
510,739.288300,11.548970
511,740.737900,10.573870
512,742.187500,15.195470
513,743.637100,12.889070
514,745.086700,12.249840
515,746.536300,11.415780
516,747.985800,14.151610
517,749.435400,10.381630
518,750.885000,11.490830
519,752.334600,11.060770
520,753.784200,12.441540
521,755.233800,13.371710
522,756.683300,16.061460
523,758.132900,20.476180
524,759.582500,24.242890
525,761.032100,24.670790
526,762.481700,23.455830
527,763.931300,15.294900
528,765.380900,14.636750
529,766.830400,14.343080
530,768.280000,16.165530
531,769.729600,23.395730
532,771.179200,18.731980
533,772.628800,17.252330
534,774.078400,14.383490
535,775.528000,13.134560
536,776.977500,15.191300
537,778.427100,19.679720
538,779.876700,18.779890
539,781.326300,14.592910
540,782.775900,18.385590
541,784.225500,22.072400
542,785.675000,16.679330
543,787.124600,16.324950
544,788.574200,18.251270
545,790.023800,22.044460
546,791.473400,18.833600
547,792.923000,19.788570
548,794.372600,20.210510
549,795.822100,19.353780
550,797.271700,22.804420
551,798.721300,23.354430
552,800.170900,22.917440
553,801.620500,19.641560
554,803.070100,13.294530
555,804.519700,13.753470
556,805.969200,16.260570
557,807.418800,20.634390
558,808.868400,18.865080
559,810.318000,15.974620
560,811.767600,12.868860
561,813.217200,13.937570
562,814.666700,13.596560
563,816.116300,14.613580
564,817.565900,17.301710
565,819.015500,18.227470
566,820.465100,19.046760
567,821.914700,18.088930
568,823.364300,15.092710
569,824.813800,18.537780
570,826.263400,16.577830
571,827.713000,18.962290
572,829.162600,17.930560
573,830.612200,13.553840
574,832.061800,12.122470
575,833.511400,14.073240
576,834.960900,15.472980
577,836.410500,12.496770
578,837.860100,13.169530
579,839.309700,13.853050
580,840.759300,12.805430
581,842.208900,10.480200
582,843.658400,12.609720
583,845.108000,16.854330
584,846.557600,14.393820
585,848.007200,10.630090
586,849.456800,13.286630
587,850.906400,12.247650
588,852.356000,10.474490
589,853.805500,11.581120
590,855.255100,12.084680
591,856.704700,11.869350
592,858.154300,10.848850
593,859.603900,12.833150
594,861.053500,13.774740
595,862.503100,15.158590
596,863.952600,14.259450
597,865.402200,13.943460
598,866.851800,11.243030
599,868.301400,9.951991
600,869.751000,10.876570
601,871.200600,12.005500
602,872.650100,12.816830
603,874.099700,17.820050
604,875.549300,14.912540
605,876.998900,18.383810
606,878.448500,16.342950
607,879.898100,16.534780
608,881.347700,12.768330
609,882.797200,17.412890
610,884.246800,17.360730
611,885.696400,18.321140
612,887.146000,20.096160
613,888.595600,20.821090
614,890.045200,23.031210
615,891.494800,20.759050
616,892.944300,17.980020
617,894.393900,18.845950
618,895.843500,18.000630
619,897.293100,15.230470
